,aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
513,2075.1157780163617,4,0,1,1,0,0
514,2074.9383052902576,4,0,1,1,1,0
515,1000000.0,4,0,1,1,2,1
516,2376.533907035594,4,0,2,0,0,0
517,2377.9680915332433,4,0,2,0,1,0
518,1000000.0,4,0,2,0,2,1
519,2076.5532047389397,4,0,2,1,0,0
520,1000000.0,4,0,2,1,1,1
521,1000000.0,4,0,2,1,2,1
522,2488.888223872362,4,1,0,0,0,0
523,2489.7408686948565,4,1,0,0,1,0
524,1000000.0,4,1,0,0,2,1
525,2261.1069338520456,4,1,0,1,0,0
526,2136.3624247204452,4,1,0,1,1,0
527,1000000.0,4,1,0,1,2,1
528,2488.0114606123925,4,1,1,0,0,0
529,2440.534663141552,4,1,1,0,1,0
530,1000000.0,4,1,1,0,2,1
531,2079.0546389026595,4,1,1,1,0,0
532,2077.7752061974743,4,1,1,1,1,0
533,1000000.0,4,1,1,1,2,1
534,1000000.0,4,1,2,0,0,1
535,1000000.0,4,1,2,0,1,1
536,1000000.0,4,1,2,0,2,1
537,2080.2415434647746,4,1,2,1,0,0
538,1000000.0,4,1,2,1,1,1
539,1000000.0,4,1,2,1,2,1
540,2489.155428872855,4,2,0,0,0,0
541,2488.9718688007906,4,2,0,0,1,0
542,1000000.0,4,2,0,0,2,1
543,2263.083664145908,4,2,0,1,0,0
544,1000000.0,4,2,0,1,1,1
545,1000000.0,4,2,0,1,2,1
546,2485.520468209179,4,2,1,0,0,0
547,1000000.0,4,2,1,0,1,1
548,1000000.0,4,2,1,0,2,1
549,2077.6585513357604,4,2,1,1,0,0
550,1000000.0,4,2,1,1,1,1
551,1000000.0,4,2,1,1,2,1
552,1000000.0,4,2,2,0,0,1
553,1000000.0,4,2,2,0,1,1
554,1000000.0,4,2,2,0,2,1
555,2083.3420164623485,4,2,2,1,0,0
556,2078.8424456009043,4,2,2,1,1,0
557,1000000.0,4,2,2,1,2,1
558,1000000.0,4,3,0,0,0,1
559,1000000.0,4,3,0,0,1,1
560,1000000.0,4,3,0,0,2,1
561,1000000.0,4,3,0,1,0,1
562,1000000.0,4,3,0,1,1,1
563,1000000.0,4,3,0,1,2,1
564,1000000.0,4,3,1,0,0,1
565,1000000.0,4,3,1,0,1,1
566,1000000.0,4,3,1,0,2,1
567,1000000.0,4,3,1,1,0,1
568,1000000.0,4,3,1,1,1,1
569,1000000.0,4,3,1,1,2,1
570,1000000.0,4,3,2,0,0,1
571,1000000.0,4,3,2,0,1,1
572,1000000.0,4,3,2,0,2,1
573,1000000.0,4,3,2,1,0,1
574,1000000.0,4,3,2,1,1,1
575,1000000.0,4,3,2,1,2,1
576,1000000.0,4,4,0,0,0,1
577,1000000.0,4,4,0,0,1,1
578,1000000.0,4,4,0,0,2,1
579,1000000.0,4,4,0,1,0,1
580,1000000.0,4,4,0,1,1,1
581,1000000.0,4,4,0,1,2,1
582,1000000.0,4,4,1,0,0,1
583,1000000.0,4,4,1,0,1,1
584,1000000.0,4,4,1,0,2,1
585,1000000.0,4,4,1,1,0,1
586,1000000.0,4,4,1,1,1,1
587,1000000.0,4,4,1,1,2,1
588,1000000.0,4,4,2,0,0,1
589,1000000.0,4,4,2,0,1,1
590,1000000.0,4,4,2,0,2,1
591,1000000.0,4,4,2,1,0,1
592,1000000.0,4,4,2,1,1,1
593,1000000.0,4,4,2,1,2,1
594,1000000.0,4,5,0,0,0,1
595,1000000.0,4,5,0,0,1,1
596,1000000.0,4,5,0,0,2,1
597,1000000.0,4,5,0,1,0,1
598,2157.094490006325,4,5,0,1,1,0
599,1000000.0,4,5,0,1,2,1
600,1000000.0,4,5,1,0,0,1
601,1000000.0,4,5,1,0,1,1
602,1000000.0,4,5,1,0,2,1
603,1000000.0,4,5,1,1,0,1
604,1000000.0,4,5,1,1,1,1
605,1000000.0,4,5,1,1,2,1
606,1000000.0,4,5,2,0,0,1
607,1000000.0,4,5,2,0,1,1
608,1000000.0,4,5,2,0,2,1
609,1000000.0,4,5,2,1,0,1
610,1000000.0,4,5,2,1,1,1
611,1000000.0,4,5,2,1,2,1
612,1000000.0,4,6,0,0,0,1
613,1000000.0,4,6,0,0,1,1
614,1000000.0,4,6,0,0,2,1
615,1000000.0,4,6,0,1,0,1
616,1000000.0,4,6,0,1,1,1
617,1000000.0,4,6,0,1,2,1
618,1000000.0,4,6,1,0,0,1
619,1000000.0,4,6,1,0,1,1
620,1000000.0,4,6,1,0,2,1
621,1000000.0,4,6,1,1,0,1
622,1000000.0,4,6,1,1,1,1
623,1000000.0,4,6,1,1,2,1
624,1000000.0,4,6,2,0,0,1
625,1000000.0,4,6,2,0,1,1
626,1000000.0,4,6,2,0,2,1
627,1000000.0,4,6,2,1,0,1
628,1000000.0,4,6,2,1,1,1
629,1000000.0,4,6,2,1,2,1
630,2487.1968356494135,5,0,0,0,0,0
631,2488.182040402705,5,0,0,0,1,0
632,1000000.0,5,0,0,0,2,1
633,2261.1072508137636,5,0,0,1,0,0
634,1000000.0,5,0,0,1,1,1
635,1000000.0,5,0,0,1,2,1
636,2486.6200664909757,5,0,1,0,0,0
637,2439.793089141851,5,0,1,0,1,0
638,1000000.0,5,0,1,0,2,1
639,2075.6438666987015,5,0,1,1,0,0
640,2075.3342670943553,5,0,1,1,1,0
641,1000000.0,5,0,1,1,2,1
642,2376.311872868468,5,0,2,0,0,0
643,2377.6390072678505,5,0,2,0,1,0
644,1000000.0,5,0,2,0,2,1
645,1000000.0,5,0,2,1,0,1
646,1000000.0,5,0,2,1,1,1
647,1000000.0,5,0,2,1,2,1
648,2489.0617270910925,5,1,0,0,0,0
649,2490.0463226774705,5,1,0,0,1,0
650,1000000.0,5,1,0,0,2,1
651,1000000.0,5,1,0,1,0,1
652,1000000.0,5,1,0,1,1,1
653,1000000.0,5,1,0,1,2,1
654,2488.5460139757506,5,1,1,0,0,0
655,2442.40480483986,5,1,1,0,1,0
656,1000000.0,5,1,1,0,2,1
657,1000000.0,5,1,1,1,0,1
